label,start,end,group,color,time_interval
Encaminhamento,2004-05-18T00:00:00Z,2004-05-19T09:54:00Z,Situação na comissão,#ea81b1,NA
Recebimento,2004-05-19T09:54:00Z,2004-05-26T00:00:00Z,Situação na comissão,#5496cf,NA
Análise do relator,2004-05-26T00:00:00Z,2004-11-10T20:13:00Z,Situação na comissão,#ff9c37,NA
Discussão e votação,2004-11-10T20:13:00Z,2005-03-09T00:00:00Z,Situação na comissão,#8bca42,NA
Análise do relator,2005-03-09T00:00:00Z,2006-03-28T16:05:00Z,Situação na comissão,#ff9c37,NA
Discussão e votação,2006-03-28T16:05:00Z,2006-03-29T00:00:00Z,Situação na comissão,#8bca42,NA
Análise do relator,2006-03-29T00:00:00Z,2006-05-04T15:52:00Z,Situação na comissão,#ff9c37,NA
Encaminhamento,2006-05-04T15:52:00Z,2006-05-05T00:00:00Z,Situação na comissão,#ea81b1,NA
Análise do relator,2006-05-05T00:00:00Z,2006-05-05T10:51:00Z,Situação na comissão,#ff9c37,NA
Recebimento,2006-05-05T10:51:00Z,2006-10-20T11:27:00Z,Situação na comissão,#5496cf,NA
Discussão e votação,2006-10-20T11:27:00Z,2006-12-20T18:07:00Z,Situação na comissão,#8bca42,NA
Encaminhamento,2006-12-20T18:07:00Z,2006-12-21T10:23:00Z,Situação na comissão,#ea81b1,NA
Recebimento,2006-12-21T10:23:00Z,2007-02-15T00:00:00Z,Situação na comissão,#5496cf,NA
Análise do relator,2007-02-15T00:00:00Z,2007-03-14T17:07:00Z,Situação na comissão,#ff9c37,NA
Discussão e votação,2007-03-14T17:07:00Z,2007-08-09T11:21:00Z,Situação na comissão,#8bca42,NA
Encaminhamento,2007-08-09T11:21:00Z,2007-08-09T11:26:00Z,Situação na comissão,#ea81b1,NA
Recebimento,2007-08-09T11:26:00Z,2007-10-03T00:00:00Z,Situação na comissão,#5496cf,NA
Análise do relator,2007-10-03T00:00:00Z,2011-11-01T16:23:00Z,Situação na comissão,#ff9c37,NA
Discussão e votação,2011-11-01T16:23:00Z,2015-04-23T00:00:00Z,Situação na comissão,#8bca42,NA
Análise do relator,2015-04-23T00:00:00Z,2015-08-07T12:23:00Z,Situação na comissão,#ff9c37,NA
Discussão e votação,2015-08-07T12:23:00Z,2016-06-20T23:00:00Z,Situação na comissão,#8bca42,NA
Encaminhamento,2016-06-20T23:00:00Z,2016-06-22T00:00:00Z,Situação na comissão,#ea81b1,NA
Análise do relator,2016-06-22T00:00:00Z,2016-06-22T09:40:00Z,Situação na comissão,#ff9c37,NA
Encaminhamento,2016-06-22T09:40:00Z,2016-06-22T09:44:00Z,Situação na comissão,#ea81b1,NA
Recebimento,2016-06-22T09:44:00Z,2016-06-22T11:09:00Z,Situação na comissão,#5496cf,NA
Encaminhamento,2016-06-22T11:09:00Z,2016-06-22T11:16:00Z,Situação na comissão,#ea81b1,NA
Recebimento,2016-06-22T11:16:00Z,2018-04-24T14:32:00Z,Situação na comissão,#5496cf,NA
Discussão e votação,2018-04-24T14:32:00Z,2018-06-26T14:36:00Z,Situação na comissão,#8bca42,NA
Encaminhamento,2018-06-26T14:36:00Z,2018-06-26T15:07:00Z,Situação na comissão,#ea81b1,NA
Recebimento,2018-06-26T15:07:00Z,2018-07-16T19:51:33Z,Situação na comissão,#5496cf,NA
Tramitação - Casa Revisora,2002-03-13T00:00:00Z,2018-07-16T19:51:33Z,global,#f37340,0
