label,start,end,group,color
encerramento_prazo_emendas,2007-10-30T00:00:00Z,2007-10-30T00:00:00Z,Evento,#a9a9a9
redistribuicao,2007-11-06T00:00:00Z,2007-11-06T00:00:00Z,Evento,#a9a9a9
designado_relator,2007-11-28T00:00:00Z,2007-11-28T00:00:00Z,Evento,#a9a9a9
abertura_prazo_emendas,2007-11-29T00:00:00Z,2007-11-29T00:00:00Z,Evento,#a9a9a9
encerramento_prazo_emendas,2007-12-12T00:00:00Z,2007-12-12T00:00:00Z,Evento,#a9a9a9
parecer_pela_aprovacao_com_substitutivo,2008-03-27T15:10:00Z,2008-03-27T15:10:00Z,Evento,#a9a9a9
abertura_prazo_emendas,2008-03-31T00:00:00Z,2008-03-31T00:00:00Z,Evento,#a9a9a9
encerramento_prazo_emendas,2008-04-09T00:00:00Z,2008-04-09T00:00:00Z,Evento,#a9a9a9
parecer_pela_aprovacao_com_substitutivo,2008-05-13T17:52:00Z,2008-05-13T17:52:00Z,Evento,#a9a9a9
pedido_de_vista,2008-05-28T10:00:00Z,2008-05-28T10:00:00Z,Evento,#a9a9a9
aprovacao_parecer,2008-07-02T10:00:00Z,2008-07-02T10:00:00Z,Evento,#a9a9a9
designado_relator,2008-08-04T00:00:00Z,2008-08-04T00:00:00Z,Evento,#a9a9a9
parecer_pela_rejeicao,2009-06-22T14:51:00Z,2009-06-22T14:51:00Z,Evento,#a9a9a9
retirada_de_pauta,2009-06-24T14:00:00Z,2009-06-24T14:00:00Z,Evento,#a9a9a9
aprovacao_parecer,2009-08-05T14:00:00Z,2009-08-05T14:00:00Z,Evento,#a9a9a9
designado_relator,2010-03-04T00:00:00Z,2010-03-04T00:00:00Z,Evento,#a9a9a9
arquivada,2011-01-31T00:00:00Z,2011-01-31T00:00:00Z,Evento,#a9a9a9
desarquivada,2011-02-16T15:19:00Z,2011-02-16T15:19:00Z,Evento,#a9a9a9
designado_relator,2013-05-14T00:00:00Z,2013-05-14T00:00:00Z,Evento,#a9a9a9
arquivada,2015-01-31T00:00:00Z,2015-01-31T00:00:00Z,Evento,#a9a9a9
desarquivada,2015-02-10T09:40:00Z,2015-02-10T09:40:00Z,Evento,#a9a9a9
designado_relator,2018-02-01T00:00:00Z,2018-02-01T00:00:00Z,Evento,#a9a9a9
parecer,2018-04-10T18:15:00Z,2018-04-10T18:15:00Z,Evento,#a9a9a9
parecer,2018-05-08T19:19:00Z,2018-05-08T19:19:00Z,Evento,#a9a9a9
parecer_pela_aprovacao_com_substitutivo,2018-05-22T14:48:00Z,2018-05-22T14:48:00Z,Evento,#a9a9a9
