codigo_tramitacao,numero_autuacao,data_tramitacao,numero_ordem_tramitacao,texto_tramitacao,indicador_recebimento,origem_tramitacao_local_codigo_local,origem_tramitacao_local_tipo_local,origem_tramitacao_local_sigla_casa_local,origem_tramitacao_local_nome_casa_local,origem_tramitacao_local_sigla_local,origem_tramitacao_local_nome_local,destino_tramitacao_local_codigo_local,destino_tramitacao_local_tipo_local,destino_tramitacao_local_sigla_casa_local,destino_tramitacao_local_nome_casa_local,destino_tramitacao_local_sigla_local,destino_tramitacao_local_nome_local,situacao_codigo_situacao,situacao_sigla_situacao,situacao_descricao_situacao,textos_texto_codigo_texto,textos_texto_descricao_tipo_texto,textos_texto_tipo_documento,textos_texto_formato_texto,textos_texto_data_texto,textos_texto_url_texto,textos_texto_identificacao_comissao_codigo_comissao,textos_texto_identificacao_comissao_sigla_comissao,textos_texto_identificacao_comissao_nome_comissao,textos_texto_identificacao_comissao_sigla_casa_comissao,textos_texto_identificacao_comissao_nome_casa_comissao,codigo_materia,sigla_casa_identificacao_materia,nome_casa_identificacao_materia,sigla_subtipo_materia,descricao_subtipo_materia,numero_materia,ano_materia,indicador_tramitando,fase,casa,evento,local,global
721352,1,2001-12-12,1,"A Comissão aprova a Emenda n° 1-CAS (Substitutivo), com a Subemenda n° 1 - CAS. Anexo Parecer da emenda, lista de votação nominal, redação final e ofício ao Presidente do Senado. (fls. nº 26 a 36).
      
                À SSCLSF.  
",S,40,A,SF,Senado Federal,CAS,Comissão de Assuntos Sociais,197,A,SF,Senado Federal,SSCLSF,SUBSEC. COORDENAÇÃO LEGISLATIVA DO SENADO,89,APRVPAR,aprovado_parecer_na_comissão,3863045,Parecer,PDF,application/pdf,2001-12-12,http://legis.senado.leg.br/sdleg-getter/documento?dm=3863045,40,CAS,Comissão de Assuntos Sociais,SF,Senado Federal,41703,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00526,1999,Não,Encaminhamento,Comissões,aprovacao_parecer,CAS, - Origem (Senado)
721705,1,2001-12-18,1,"Aguardando leitura de parecer.
      Anexada legislação citada no parecer da CAS, de fls. nº 37.",S,197,A,SF,Senado Federal,SSCLSF,SUBSEC. COORDENAÇÃO LEGISLATIVA DO SENADO,153,A,SF,Senado Federal,ATA-PLEN,SUBSECRETARIA DE ATA - PLENÁRIO,14,AGLPAR,aguardando_leitura_parecer_(es),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41703,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00526,1999,Não,Discussão e votação,Comissões,NA,CAS, - Origem (Senado)
724806,1,2002-02-25,1,"Leitura do Parecer nº 37/2002 - CAS, Relator: Senador Jonas Pinheiro, favorável à Emenda  nº 1 - CAS (Substitutivo), nos termos da Subemenda nº 1 - CAS. 
                   É lido o Ofício nº 104/2001, do Presidente da CAS, comunicando a aprovação, em decisão terminativa, do Substitutivo à matéria,  com a Subemenda nº 1-CAS, e prejudicou o PLS 538/99, que tramita em conjunto,  em  reunião realizada no dia 12/12/2001.
                 Abertura de prazo de cinco dias úteis (art. 91, §§ 3º a 5º do RISF) para interposição de recurso, por um décimo da composição da Casa, para que o projeto continue  a sua tramitação. 
                 À SSCLSF.",S,153,A,SF,Senado Federal,ATA-PLEN,SUBSECRETARIA DE ATA - PLENÁRIO,197,A,SF,Senado Federal,SSCLSF,SUBSEC. COORDENAÇÃO LEGISLATIVA DO SENADO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41703,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00526,1999,Não,Discussão e votação,Comissões,NA,CAS, - Origem (Senado)
724951,1,2002-02-26,1,Prazo para interposição de recurso: 27.02 a 05.03.2002.,S,197,A,SF,Senado Federal,SSCLSF,SUBSEC. COORDENAÇÃO LEGISLATIVA DO SENADO,197,A,SF,Senado Federal,SSCLSF,SUBSEC. COORDENAÇÃO LEGISLATIVA DO SENADO,12,AGINR,aguardando_interposição_de_recurso,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41703,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00526,1999,Não,Discussão e votação,Comissões,NA,CAS, - Origem (Senado)
726246,1,2002-03-05,1,Encaminhado ao Plenário para comunicação do término do prazo de apresentação de recurso.,S,197,A,SF,Senado Federal,SSCLSF,SUBSEC. COORDENAÇÃO LEGISLATIVA DO SENADO,153,A,SF,Senado Federal,ATA-PLEN,SUBSECRETARIA DE ATA - PLENÁRIO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41703,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00526,1999,Não,Discussão e votação,Comissões,NA,CAS, - Origem (Senado)
726634,1,2002-03-06,1,"A Presidência comunica ao Plenário o término do prazo ontem, sem que tenha sido interposto recurso, no sentido da apreciação da matéria pelo Plenário.
           Tendo sido aprovado terminativamente pela CAS
           À Câmara dos Deputados.
      
      
           À SSEXP.",S,153,A,SF,Senado Federal,ATA-PLEN,SUBSECRETARIA DE ATA - PLENÁRIO,206,A,SF,Senado Federal,SSEXP,SUBSECRETARIA DE EXPEDIENTE,96,APRVD(DT),aprovada_a_matéria_(decisão_terminativa),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41703,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00526,1999,Não,Discussão e votação,Comissões,NA,CAS, - Origem (Senado)
726673,1,2002-03-07,1,Recebido neste órgão às 09:40 hs.,S,206,A,SF,Senado Federal,SSEXP,SUBSECRETARIA DE EXPEDIENTE,206,A,SF,Senado Federal,SSEXP,SUBSECRETARIA DE EXPEDIENTE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41703,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00526,1999,Não,Discussão e votação,Comissões,NA,CAS, - Origem (Senado)
726712,1,2002-03-07,2,À SSCLSF para revisão do texto final.,S,206,A,SF,Senado Federal,SSEXP,SUBSECRETARIA DE EXPEDIENTE,197,A,SF,Senado Federal,SSCLSF,SUBSEC. COORDENAÇÃO LEGISLATIVA DO SENADO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41703,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00526,1999,Não,Discussão e votação,Comissões,NA,CAS, - Origem (Senado)
726808,1,2002-03-07,3,"Procedida a revisão do texto final (fls. 40 e 41).
      
      À SSEXP.",S,197,A,SF,Senado Federal,SSCLSF,SUBSEC. COORDENAÇÃO LEGISLATIVA DO SENADO,206,A,SF,Senado Federal,SSEXP,SUBSECRETARIA DE EXPEDIENTE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41703,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00526,1999,Não,Discussão e votação,Comissões,NA,CAS, - Origem (Senado)
726820,1,2002-03-07,4,Recebido neste órgão às 16:50 hs.,S,206,A,SF,Senado Federal,SSEXP,SUBSECRETARIA DE EXPEDIENTE,206,A,SF,Senado Federal,SSEXP,SUBSECRETARIA DE EXPEDIENTE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41703,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00526,1999,Não,Discussão e votação,Comissões,NA,CAS, - Origem (Senado)
726838,1,2002-03-07,5,À SSCLSF para revisão dos autógrafos (fls.  42).,S,206,A,SF,Senado Federal,SSEXP,SUBSECRETARIA DE EXPEDIENTE,197,A,SF,Senado Federal,SSCLSF,SUBSEC. COORDENAÇÃO LEGISLATIVA DO SENADO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41703,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00526,1999,Não,Discussão e votação,Comissões,NA,CAS, - Origem (Senado)
726860,1,2002-03-08,1,"Procedida a revisão dos autógrafos (fls. 42).
      
      À SSEXP.",S,197,A,SF,Senado Federal,SSCLSF,SUBSEC. COORDENAÇÃO LEGISLATIVA DO SENADO,206,A,SF,Senado Federal,SSEXP,SUBSECRETARIA DE EXPEDIENTE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41703,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00526,1999,Não,Discussão e votação,Comissões,NA,CAS, - Origem (Senado)
726927,1,2002-03-08,2,"Procedida a revisão dos autógrafos de fls. 42.
      À Subsecretaria de Expediente.",S,206,A,SF,Senado Federal,SSEXP,SUBSECRETARIA DE EXPEDIENTE,206,A,SF,Senado Federal,SSEXP,SUBSECRETARIA DE EXPEDIENTE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41703,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00526,1999,Não,Discussão e votação,Comissões,NA,CAS, - Origem (Senado)
726951,1,2002-03-08,3,"Recebido neste órgão às 17:00 hs.  
      Encaminhados expedientes à  SGM para colher assinaturas.",S,206,A,SF,Senado Federal,SSEXP,SUBSECRETARIA DE EXPEDIENTE,206,A,SF,Senado Federal,SSEXP,SUBSECRETARIA DE EXPEDIENTE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41703,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00526,1999,Não,Discussão e votação,Comissões,NA,CAS, - Origem (Senado)
727206,1,2002-03-12,1,Recebido neste órgão devidamente assinado.,S,206,A,SF,Senado Federal,SSEXP,SUBSECRETARIA DE EXPEDIENTE,206,A,SF,Senado Federal,SSEXP,SUBSECRETARIA DE EXPEDIENTE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41703,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00526,1999,Não,Discussão e votação,Comissões,NA,CAS, - Revisão (Câmara)
727336,1,2002-03-12,2,"OF. SF nº 127 de 12/03/2002 do Quarto-Secretário do Senado Federal no exercício da Primeira Secretaria ao Primeiro-Secretário da Câmara dos Deputados, encaminhando o presente projeto para revisão, nos termos do art. 65 da Constituição Federal (fls. 43 a 48).",S,206,A,SF,Senado Federal,SSEXP,SUBSECRETARIA DE EXPEDIENTE,206,A,SF,Senado Federal,SSEXP,SUBSECRETARIA DE EXPEDIENTE,52,RMCD,remetida_à_câmara_dos_deputados,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41703,SF,Senado Federal,PLS,PROJETO DE LEI DO SENADO,00526,1999,Não,Discussão e votação,Comissões,NA,Mesa - Câmara, - Revisão (Câmara)
