Proposição,Sim,Não,Total
MPV 805/2017,"1,785","61,597","63,382"
PEC 51/2013,"27,386","31,561","58,947"
PLC 30/2015,"8,949","49,755","58,704"
PLS 612/2011,"43,659","13,234","56,893"
PEC 10/2013,"56,511",187,"56,698"
SUG 16/2017,"52,568",66,"52,634"
PLS 473/2017,"16,598","33,773","50,371"
PEC 18/2017,"4,777","2,295","50,065"
SUG 18/2017,"43,573","5,911","49,484"
PLS 580/2015,"46,234","1,471","47,705"
SUG 47/2017,"24,435","20,573","45,008"
PLS 174/2017,"14,937","3,002","44,957"
SUG 9/2015,"42,812","1,217","44,029"
SUG 20/2017,"43,586",298,"43,884"
SUG 36/2018,"39,426","1,934","4,136"
SUG 6/2017,"35,807","1,508","37,315"
PLS 352/2017,"3,468","1,184","35,864"
PLS 174/2016,"3,452",308,"34,828"
PLS 85/2017,568,"34,235","34,803"
PEC 28/2017,"34,249",167,"34,416"
PEC 62/2016,"32,461","1,314","33,775"
PEC 63/2016,"31,609",854,"32,463"
PEC 65/2012,409,"31,401","3,181"
SUG 42/2017,"25,306","6,283","31,589"
PLS 599/2011,"14,213","16,602","30,815"
PL 672/2019,"7,933","2,161","29,543"
SUG 44/2017,"8,572","20,349","28,921"
PRS 7/2018,"8,138","19,789","27,927"
PDL 233/2019,"1,168","26,311","27,479"
PLC 130/2009,"23,555","3,469","27,024"
PDL 23/2019,"2,151","24,546","26,697"
PLS 224/2017,"22,594","3,656","2,625"
PLS 782/2015,"10,799","15,013","25,812"
PLS 272/2016,"13,111","12,613","25,724"
PEC 52/2015,"24,721",522,"25,243"
PLS 517/2015,"22,652","2,085","24,737"
SUG 14/2017,"24,231",430,"24,661"
PLN 8/2016,"24,412",110,"24,522"
PEC 61/2016,"22,518","1,824","24,342"
PLC 34/2015,"1,067","2,306","24,127"
PLS 513/2015,"22,119",165,"22,284"
PEC 41/2017,"21,932",78,"2,201"
SUG 48/2017,"21,458",398,"21,856"
SUG 49/2017,"13,463","8,209","21,672"
PLS 557/2013,"21,004",86,"2,109"
PEC 21/2015,"2,272","18,619","20,891"
PLS 222/2018,"20,285",224,"20,509"
PL 2362/2019,493,"19,725","20,218"
PL 860/2019,"18,671","1,474","20,145"
PLC 77/2016,"17,665","2,113","19,778"
PEC 67/2016,"1,154","7,855","19,395"
MPV 841/2018,477,"18,183","1,866"
PEC 6/2017,"7,382","11,261","18,643"
PLC 13/2013,"18,281",293,"18,574"
SUG 58/2017,"17,951",414,"18,365"
PLC 27/2016,"2,966","15,306","18,272"
PLS 329/2015,"17,582",587,"18,169"
SUG 40/2017,"15,153","2,813","17,966"
PEC 14/2016,"1,698",269,"17,249"
PLS 203/2017,"1,959","1,502","16,979"
SUG 61/2017,"9,258","7,525","16,783"
PLS 480/2017,"15,141","1,364","16,505"
PLS 320/2015,163,"15,505","15,668"
SUG 33/2017,"15,314",195,"15,509"
SUG 12/2017,"14,601",820,"15,421"
PLS 186/2013,"2,942","12,308","1,525"
PEC 33/2012,"12,303","2,881","15,184"
SUG 7/2016,"14,966",141,"15,107"
PL 1551/2019,530,"14,552","15,082"
PLS 31/2018,"14,641",241,"14,882"
SUG 27/2017,"11,068","3,758","14,826"
PLS 650/2015,"1,028","4,466","14,746"
PLS 372/2017,"1,162","13,398","1,456"
PLC 78/2018,543,"1,364","14,183"
PLS 325/2016,863,"12,715","13,578"
PLC 1/2018,"13,056",432,"13,488"
PLS 769/2015,"1,542","11,844","13,386"
PLS 383/2017,"5,691","7,323","13,014"
SUG 26/2017,"12,534",463,"12,997"
SUG 4/2018,"10,778","1,692","1,247"
PLS 378/2016,"1,865","10,581","12,446"
PLS 470/2018,"12,094",67,"12,161"
SUG 53/2017,"10,672","1,383","12,055"
PLS 300/2016,"1,453","10,504","11,957"
SUG 27/2018,"8,403","3,519","11,922"
PEC 41/2015,"11,426",406,"11,832"
PLS 511/2017,"11,693",109,"11,802"
MPV 844/2018,"1,697","9,985","11,682"
PLS 134/2015,"10,208","1,379","11,587"
PLS 28/2018,"10,806",730,"11,536"
SUG 33/2018,"11,367",70,"11,437"
PLS 191/2017,"7,206","4,214","1,142"
PLC 141/2015,"11,135",218,"11,353"
PLS 176/2011,420,"10,907","11,327"
PLS 142/2013,"7,974","3,286","1,126"
PDS 16/2016,"9,961",879,"1,084"
PLS 190/2014,"1,835","8,991","10,826"
MPV 873/2019,109,"9,673","10,763"
PEC 63/2013,"8,725","1,974","10,699"
PEC 41/2016,"3,924","6,771","10,695"
PLS 387/2014,"4,919","5,756","10,675"
PEC 58/2015,"10,578",31,"10,609"
SUG 45/2017,976,435,"10,195"
PLS 168/2012,"2,561","7,324","9,885"
PLS 435/2017,271,"9,528","9,799"
PLS 438/2017,"6,138","3,609","9,747"
SUG 7/2018,"9,246",127,"9,373"
SUG 5/2017,"7,032","2,223","9,255"
SUG 41/2017,"8,431",816,"9,247"
PLC 23/2016,"5,288","3,934","9,222"
SUG 39/2017,"8,722",380,"9,102"
PEC 53/2016,"2,028","7,055","9,083"
PLC 70/2014,836,654,"9,014"
MPV 774/2017,285,"8,694","8,979"
MPV 850/2018,307,"8,402","8,709"
SUG 28/2018,"8,205",463,"8,668"
MPV 653/2014,265,"8,299","8,564"
PLS 545/2018,262,"8,108",837
PLC 39/2015,"8,144",220,"8,364"
PLC 64/2014,"1,946","6,312","8,258"
SUG 31/2018,"7,731",509,824
PLS 234/2017,"8,065",146,"8,211"
SUG 8/2016,"8,037",44,"8,081"
SUG 29/2018,"7,807",141,"7,948"
PLS 100/2017,"7,853",69,"7,922"
PLS 490/2017,"6,971",940,"7,911"
PLC 42/2017,"7,868",11,"7,879"
PLS 404/2015,"4,713","3,136","7,849"
PLS 377/2016,"1,825","5,958","7,783"
PDS 43/2015,"3,078","4,705","7,783"
PLS 332/2017,"6,961",757,"7,718"
PEC 27/2015,"7,546",107,"7,653"
PLS 254/2018,"4,536","3,109","7,645"
PLC 159/2017,"5,859","1,758","7,617"
PLC 56/2017,738,206,"7,586"
PLC 3/2016,"7,338",179,"7,517"
PLS 336/2017,"7,134",191,"7,325"
PLC 145/2017,"5,758","1,504","7,262"
PLC 127/2017,"6,988",177,"7,165"
PLS 349/2016,"6,503",619,"7,122"
PDL 239/2019,142,"6,844","6,986"
MPV 868/2018,688,"6,252",694
PLC 29/2016,"6,887",52,"6,939"
PLS 106/2011,"4,358","2,579","6,937"
PEC 73/2013,"6,416",439,"6,855"
PEC 55/2012,"6,442",353,"6,795"
PLS 392/2016,"5,872",780,"6,652"
PLS 101/2017,"2,016","4,628","6,644"
PDL 238/2019,296,"6,308","6,604"
PDS 190/2017,"5,581",961,"6,542"
PEC 12/2017,"5,534",914,"6,448"
PLS 482/2017,"3,646","2,642","6,288"
PDL 68/2019,"1,924","4,318","6,242"
PEC 36/2013,"6,081",160,"6,241"
PLS 228/2018,"6,131",104,"6,235"
SUG 43/2017,"6,099",11,611
PDS 21/2018,"5,759",193,"5,952"
MPV 650/2014,589,28,"5,918"
PLC 143/2015,"5,884",9,"5,893"
SUG 23/2017,"5,605",197,"5,802"
PLS 514/2015,"5,613",183,"5,796"
PLS 59/2017,"4,412",131,"5,722"
PLC 41/2015,"5,684",11,"5,695"
PLS 506/2017,"4,179","1,322","5,501"
PDS 100/2018,"4,601",894,"5,495"
PLS 391/2014,137,"5,356","5,493"
PLS 52/2018,559,"4,921",548
PLS 293/2014,"1,759","3,628","5,387"
PLS 227/2017,"5,318",26,"5,344"
SUG 5/2018,479,506,"5,296"
PEC 35/2015,511,120,523
PEC 58/2019,"1,783","3,445","5,228"
SUG 25/2018,"3,728","1,464","5,192"
PLC 105/2013,"5,038",59,"5,097"
SUG 1/2018,"5,062",34,"5,096"
PLS 697/2015,"4,998",13,"5,011"
PLS 220/2018,"4,964",22,"4,986"
SUG 8/2015,"4,825",39,"4,864"
PEC 80/2015,"4,483",341,"4,824"
PLS 30/2016,"3,253",156,"4,813"
PEC 3/2019,427,497,"4,767"
PLS 87/2011,"3,107","1,621","4,728"
PLS 564/2015,309,"1,631","4,721"
MPV 814/2017,281,"4,439",472
PLS 206/2012,"2,727",192,"4,647"
PLS 444/2017,957,"3,664","4,621"
PL 1029/2019,"4,476",134,461
SUG 30/2018,"4,251",344,"4,595"
PEC 1/2018,"4,256",260,"4,516"
PDS 180/2017,"4,301",187,"4,488"
SUG 52/2017,"2,872","1,505","4,377"
PLS 292/2016,156,"2,806","4,366"
PLS 213/2017,98,"4,267","4,365"
PLS 186/2014,"3,496",842,"4,338"
PLS 13/2016,"3,946",391,"4,337"
PEC 96/2015,258,"4,054","4,312"
PLS 49/2015,622,"3,686","4,308"
PLS 304/2017,"2,495","1,811","4,306"
SUG 19/2018,"4,134",166,43
PEC 28/2016,"3,806",488,"4,294"
PLS 189/2012,"2,115","2,174","4,289"
PLS 213/2015,"3,928",356,"4,284"
PLS 200/2016,"3,866",415,"4,281"
PLS 263/2018,"3,898",375,"4,273"
PLS 32/2016,"3,936",302,"4,238"
PLC 83/2015,"2,562",159,"4,152"
PEC 115/2011,"4,093",52,"4,145"
PLS 127/2017,361,519,"4,129"
SUG 9/2017,"3,793",319,"4,112"
SUG 32/2018,"4,011",40,"4,051"
PL 1952/2019,266,377,"4,036"
SUG 10/2016,"3,353",662,"4,015"
PDL 235/2019,45,"3,943","3,988"
PLS 631/2015,"1,811","2,175","3,986"
PLS 280/2017,88,"3,864","3,952"
PLS 460/2012,"2,443","1,481","3,924"
PLS 798/2015,"3,793",75,"3,868"
SUG 8/2018,"3,689",160,"3,849"
SUG 57/2017,302,827,"3,847"
SUG 28/2017,"2,681",11,"3,781"
PLS 176/2017,"3,698",58,"3,756"
PLC 78/2016,"3,713",6,"3,719"
PLC 71/2018,"2,436","1,273","3,709"
PEC 123/2015,"3,475",176,"3,651"
PLS 292/2014,"2,712",936,"3,648"
PEC 27/2010,174,347,"3,644"
SUG 3/2018,"3,537",105,"3,642"
PEC 140/2015,"3,553",81,"3,634"
SUG 6/2015,331,307,"3,617"
PLC 81/2018,500,"3,095","3,595"
PEC 29/2016,"3,451",139,359
PLS 395/2017,61,"3,521","3,582"
PLS 8/2014,531,"3,027","3,558"
PEC 160/2015,"3,255",287,"3,542"
PL 1712/2019,"2,703",778,"3,481"
PLC 80/2018,"2,225","1,242","3,467"
PLS 512/2017,"2,984",455,"3,439"
PLS 287/2012,"1,057","2,381","3,438"
SUG 29/2017,"3,241",197,"3,438"
PLS 139/2017,"2,387","1,033",342
PEC 89/2015,"3,231",165,"3,396"
PRS 53/2018,"3,318",52,337
PEC 64/2016,"3,305",43,"3,348"
PLS 519/2018,"2,749",588,"3,337"
PEC 130/2015,"3,176",149,"3,325"
PLS 346/2017,"3,291",23,"3,314"
PEC 116/2011,333,298,"3,313"
PLC 30/2007,"3,185",120,"3,305"
PL 1402/2019,627,"2,656","3,283"
PEC 19/2016,"3,159",106,"3,265"
PLS 209/2015,"3,175",80,"3,255"
PLS 405/2011,561,"2,684","3,245"
PLS 214/2016,"2,883",358,"3,241"
PLS 513/2017,"2,314",875,"3,189"
SUG 23/2018,"3,158",17,"3,175"
PLS 98/2015,"2,932",208,314
PLS 609/2015,"3,085",16,"3,101"
SUG 32/2017,"2,554",544,"3,098"
PEC 67/2007,"3,043",17,306
PLS 206/2015,"3,023",7,303
PEC 19/2008,"2,808",217,"3,025"
PLS 217/2017,"2,968",53,"3,021"
PLS 323/2017,155,"2,862","3,017"
PLS 240/2017,"2,639",376,"3,015"
SUG 59/2017,299,21,"3,011"
SUG 22/2018,"2,487",481,"2,968"
PLS 284/2015,41,"2,862","2,903"
PLS 66/2015,"2,795",27,"2,822"
PDL 69/2019,"2,732",79,"2,811"
SUG 6/2016,"2,512",294,"2,806"
PLS 400/2018,790,"2,012","2,802"
PLS 680/2015,25,"2,771","2,796"
PLS 101/2018,267,"2,506","2,773"
PEC 9/2016,676,"2,069","2,745"
PLS 412/2017,257,248,"2,737"
PLC 29/2014,170,"2,565","2,735"
PLS 677/2015,423,"2,297",272
PLS 473/2018,87,"2,626","2,713"
PEC 113A/2015,"2,425",287,"2,712"
SUG 15/2018,"2,569",104,"2,673"
PLS 360/2013,"1,795",877,"2,672"
PLS 257/2017,664,"1,982","2,646"
PLS 190/2016,253,"2,378","2,631"
PLS 50/2011,"1,445","1,175",262
PLC 172/2015,"2,526",94,262
PDS 129/2018,98,"2,508","2,606"
PLS 285/2018,463,"2,123","2,586"
SUG 34/2017,23,278,"2,578"
PEC 25/2012,198,"2,356","2,554"
PEC 112/2015,163,"2,373","2,536"
PLC 180/2017,"2,498",27,"2,525"
PLS 110/2017,"2,433",32,"2,465"
PLS 35/2017,"2,299",142,"2,441"
SUG 4/2019,"2,233",200,"2,433"
PLS 530/2015,808,"1,609","2,417"
PLS 342/2017,"2,379",31,241
PDS 14/2016,"2,134",268,"2,402"
PLS 513/2013,409,"1,973","2,382"
PLS 359/2016,"2,323",50,"2,373"
PL 555/2019,"2,326",21,"2,347"
PDS 110/2018,"1,943",400,"2,343"
PLS 316/2014,"2,126",183,"2,309"
PDS 184/2015,14,"2,261","2,275"
PLS 471/2013,"2,154",117,"2,271"
PLS 204/2016,56,"2,206","2,262"
PLC 96/2018,"2,216",37,"2,253"
PLC 25/2015,"2,236",17,"2,253"
PLS 200/2015,"1,191","1,059",225
PLS 513/2011,816,"1,431","2,247"
SUG 36/2017,"1,944",289,"2,233"
PLS 311/2015,93,"2,125","2,218"
PDS 7/2015,189,326,"2,216"
PLS 13/2017,141,"2,068","2,209"
MPV 777/2017,"1,117","1,087","2,204"
PLS 333/2017,"2,106",93,"2,199"
SUG 37/2017,"1,092","1,072","2,164"
PLC 170/2015,"2,146",15,"2,161"
PLS 353/2016,"1,462",697,"2,159"
PLS 410/2016,41,208,"2,121"
PLC 84/2011,205,68,"2,118"
PEC 76/2019,"2,091",16,"2,107"
PLS 57/2011,742,"1,315","2,057"
PLC 143/2018,"2,041",8,"2,049"
PEC 102/2015,"1,285",742,"2,027"
PLC 79/2016,"1,131",860,"1,991"
PLC 122/2018,734,125,"1,984"
PLS 342/2011,"1,723",235,"1,958"
PL 2574/2019,344,"1,612","1,956"
PLS 108/2017,"1,837",116,"1,953"
MPV 872/2019,"1,795",150,"1,945"
MPV 723/2016,163,"1,776","1,939"
PEC 54/2019,"1,877",51,"1,928"
SCD 3/2015,"1,789",125,"1,914"
PLC 96/2011,"1,718",192,191
PLC 134/2018,19,10,191
SUG 26/2018,"1,847",58,"1,905"
PLS 278/2016,175,"1,728","1,903"
PLS 236/2016,"1,253",650,"1,903"
PLS 299/2018,"1,886",17,"1,903"
PEC 21/2017,"1,882",11,"1,893"
PLC 17/2017,"1,668",222,189
PLS 165/2017,"1,508",375,"1,883"
PEC 61/2015,47,"1,827","1,874"
PEC 43/2016,"1,005",854,"1,859"
PL 2183/2019,218,"1,635","1,853"
PLS 334/2013,"1,834",17,"1,851"
PLS 781/2015,"1,529",313,"1,842"
PLS 188/2018,181,31,"1,841"
MPV 849/2018,101,"1,718","1,819"
PLC 5/2017,765,105,"1,815"
PLS 131/2015,44,"1,756",18
SUG 10/2017,"1,578",210,"1,788"
PLS 103/2018,"1,189",580,"1,769"
PLS 158/2018,"1,732",32,"1,764"
PLS 308/2018,"1,744",15,"1,759"
PLS 407/2017,"1,732",20,"1,752"
PLS 356/2014,"1,687",48,"1,735"
PL 748/2019,"1,715",14,"1,729"
PLS 78/2016,"1,367",350,"1,717"
PLS 516/2015,18,"1,693","1,711"
SUG 26/2019,131,398,"1,708"
PLS 146/2007,98,"1,601","1,699"
PLS 5/2015,"1,686",7,"1,693"
PLC 45/2018,"1,221",463,"1,684"
PLS 762/2015,112,559,"1,679"
SUG 21/2018,"1,636",30,"1,666"
PLC 97/2017,"1,645",18,"1,663"
PEC 56/2014,"1,624",30,"1,654"
PLS 406/2018,"1,602",36,"1,638"
PLS 160/2013,262,"1,371","1,633"
MPV 717/2016,28,"1,574","1,602"
PLC 138/2010,403,"1,199","1,602"
PLC 158/2017,559,"1,043","1,602"
PEC 148/2015,"1,452",144,"1,596"
SUG 16/2018,860,732,"1,592"
SUG 35/2017,919,670,"1,589"
SUG 14/2018,"1,501",87,"1,588"
PLS 397/2011,"1,325",255,158
PLC 26/2016,157,10,158
MPV 745/2016,85,149,"1,575"
PLS 658/2011,975,579,"1,554"
PLS 46/2018,"1,399",155,"1,554"
PLS 147/2018,"1,492",62,"1,554"
PLS 296/2018,"1,532",21,"1,553"
PLS 374/2018,"1,483",66,"1,549"
PEC 2/2016,"1,484",65,"1,549"
PEC 15/2015,"1,285",249,"1,534"
PLS 236/2012,429,"1,103","1,532"
PEC 61/2007,321,121,"1,531"
PLS 487/2015,"1,469",42,"1,511"
PLS 93/2017,604,899,"1,503"
PLS 531/2015,703,798,"1,501"
MPV 808/2017,87,"1,403",149
PDS 109/2011,500,980,148
PLS 525/2013,"1,179",300,"1,479"
PLS 20/2017,"1,412",67,"1,479"
PLS 303/2017,"1,452",24,"1,476"
SUG 24/2019,"1,454",19,"1,473"
PLS 439/2017,751,714,"1,465"
PLS 259/2018,"1,365",93,"1,458"
PLS 269/2018,643,813,"1,456"
PLS 176/2016,"1,442",13,"1,455"
PEC 6/2018,"1,362",91,"1,453"
SUG 54/2017,139,58,"1,448"
SUG 12/2019,"1,412",34,"1,446"
PLS 396/2017,23,"1,414","1,437"
PLS 470/2013,884,553,"1,437"
PLS 310/2016,"1,381",34,"1,415"
PLS 34/2018,"1,004",407,"1,411"
PDS 243/2017,33,"1,372","1,405"
PEC 16/2017,"1,121",273,"1,394"
PLS 658/2007,"1,315",77,"1,392"
PLS 58/2017,"1,078",312,139
PLS 408/2015,900,487,"1,387"
PLS 626/2011,21,"1,362","1,383"
PL 576/2019,"1,364",16,138
SUG 68/2017,"1,157",217,"1,374"
SUG 18/2014,"1,218",151,"1,369"
SUG 38/2017,"1,349",19,"1,368"
PLC 42/2013,"1,353",12,"1,365"
PEC 32/2019,"1,235",115,135
PLS 187/2018,"1,347",3,135
PEC 26/2014,191,"1,155","1,346"
PLS 430/2016,406,940,"1,346"
PLS 412/2016,124,106,"1,346"
PL 1280/2019,"1,285",61,"1,346"
MPV 740/2016,"1,102",243,"1,345"
PLS 145/2017,"1,288",52,134
SUG 56/2017,598,734,"1,332"
PLS 64/2015,"1,249",78,"1,327"
PLS 112/2012,"1,241",71,"1,312"
PLC 125/2017,"1,265",47,"1,312"
PLS 245/2016,"1,265",38,"1,303"
PLS 462/2017,98,"1,201","1,299"
SUG 65/2017,970,322,"1,292"
PL 2170/2019,992,297,"1,289"
PLS 434/2018,479,806,"1,285"
PLS 2/2014,"1,267",15,"1,282"
PLC 137/2017,"1,267",15,"1,282"
MPV 866/2018,917,345,"1,262"
MPV 2215-10/2001,"1,148",110,"1,258"
MPV 819/2018,19,"1,238","1,257"
MPV 722/2016,28,121,"1,238"
SUG 31/2017,"1,069",168,"1,237"
PEC 45/2009,"1,233",4,"1,237"
PEC 6/2011,739,482,"1,221"
PLS 406/2016,31,"1,183","1,214"
PLC 100/2015,812,392,"1,204"
PLC 74/2011,362,839,"1,201"
PDS 160/2017,"1,143",56,"1,199"
PDS 84/2015,987,211,"1,198"
PLS 28/2017,"1,148",46,"1,194"
PLS 158/2016,63,"1,129","1,192"
PL 990/2019,909,281,119
PL 2881/2019,"1,186",3,"1,189"
PLC 175/2017,482,702,"1,184"
PEC 115/2015,566,617,"1,183"
PLS 216/2016,113,"1,068","1,181"
PLC 148/2015,963,215,"1,178"
MPV 739/2016,164,"1,008","1,172"
PDS 270/2015,920,234,"1,154"
PLC 93/2017,"1,102",45,"1,147"
PEC 36/2016,559,584,"1,143"
PLS 344/2017,892,241,"1,133"
PLS 208/2017,366,766,"1,132"
PEC 79/2019,966,166,"1,132"
PEC 141/2015,"1,085",46,"1,131"
PLS 351/2016,"1,123",6,"1,129"
PLS 555/2015,34,"1,088","1,122"
PLC 74/2017,"1,098",23,"1,121"
PLS 304/2014,532,586,"1,118"
SUG 4/2015,"1,018",97,"1,115"
PLS 212/2016,"1,099",12,"1,111"
PL 2474/2019,56,"1,039","1,095"
PLC 39/2014,"1,079",10,"1,089"
PLS 411/2016,637,448,"1,085"
PLS 206/2017,769,312,"1,081"
PEC 26/2016,107,10,108
PLS 503/2017,101,58,"1,068"
PEC 5/2019,"1,049",19,"1,068"
PLS 113/2018,102,47,"1,067"
PLS 347/2016,114,948,"1,062"
PLS 104/2017,126,932,"1,058"
PLC 151/2015,"1,037",21,"1,058"
PLS 138/2016,809,248,"1,057"
PLS 238/2017,426,630,"1,056"
SUG 1/2017,256,799,"1,055"
SUG 55/2017,547,499,"1,046"
PLS 55/2016,548,496,"1,044"
PLS 482/2011,529,513,"1,042"
PLS 221/2017,193,830,"1,023"
PLS 291/2015,474,547,"1,021"
PLS 84/2016,980,36,"1,016"
PL 639/2019,"1,004",12,"1,016"
PL 1783/2019,928,84,"1,012"
PEC 48/2015,761,250,"1,011"
PEC 5/2017,975,28,"1,003"
