dataHora,descricaoSituacao,descricaoTramitacao,despacho,idSituacao,idTipoTramitacao,regime,sequencia,siglaOrgao,uriOrgao,url
2000-04-13T00:00,,Designação de Relator,"REDISTRIBUIDO AO RELATOR, DEP SERGIO CARVALHO.",,320,"Ordinária (Art. 151, III, RICD)",11,CSSF,https://dadosabertos.camara.leg.br/api/v2/orgaos/2014,
2000-04-18T00:00,,Notificação de Apensação,Apense-se a este o PL 2.694/00.,,504,"Ordinária (Art. 151, III, RICD)",12,MESA,https://dadosabertos.camara.leg.br/api/v2/orgaos/4,
2000-09-13T00:00,,Recebimento - Relator,Recebido parecer do Relator.,,501,"Ordinária (Art. 151, III, RICD)",13,CSSF,https://dadosabertos.camara.leg.br/api/v2/orgaos/2014,
2000-09-13T00:00,,Parecer do Relator,"Parecer do Relator, Dep. Sérgio Carvalho, pela rejeição deste, do PL-725/1999, do PL-913/1999, do PL-2694/2000, apensados.",,322,"Ordinária (Art. 151, III, RICD)",14,CSSF,https://dadosabertos.camara.leg.br/api/v2/orgaos/2014,
2001-03-09T00:00,,Notificação de Apensação,Apense-se a esta o PL-3968/2000.,,504,"Ordinária (Art. 151, III, RICD)",15,MESA,https://dadosabertos.camara.leg.br/api/v2/orgaos/4,
2001-04-02T00:00,,Notificação de Apensação,Apensação do PL-3968/2000 a esta,,504,"Ordinária (Art. 151, III, RICD)",16,CSSF,https://dadosabertos.camara.leg.br/api/v2/orgaos/2014,
2001-04-02T00:00,,Devolução ao Relator,Devolução ao Relator,,170,"Ordinária (Art. 151, III, RICD)",17,CSSF,https://dadosabertos.camara.leg.br/api/v2/orgaos/2014,
2001-05-24T00:00,,Recebimento - Relator,Recebida manifestação do Relator.,,501,"Ordinária (Art. 151, III, RICD)",18,CSSF,https://dadosabertos.camara.leg.br/api/v2/orgaos/2014,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1815
2001-05-24T00:00,,Parecer do Relator,"Parecer do Relator, Dep. Sérgio Carvalho, pela rejeição deste, do PL-725/1999, do PL-913/1999, do PL-2694/2000, e do PL-3968/2000, apensados.",,322,"Ordinária (Art. 151, III, RICD)",19,CSSF,https://dadosabertos.camara.leg.br/api/v2/orgaos/2014,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=26413
2001-06-22T00:00,,Notificação de Apensação,Apense-se a esta o PL-4892/2001.,,504,"Ordinária (Art. 151, III, RICD)",20,MESA,https://dadosabertos.camara.leg.br/api/v2/orgaos/4,
2001-06-26T14:40,,Pedido de Vista,Vista conjunta concedida aos Deputados Arnaldo Faria de Sá e Eni Voltolini.,,420,"Ordinária (Art. 151, III, RICD)",21,CSSF,https://dadosabertos.camara.leg.br/api/v2/orgaos/2014,
2001-06-29T00:00,,Encerramento de Prazo,Encerramento automático do Prazo para Vista Conjunta.,,600,"Ordinária (Art. 151, III, RICD)",22,CSSF,https://dadosabertos.camara.leg.br/api/v2/orgaos/2014,
2001-08-15T00:00,,Notificação de Apensação,Apensação do PL-4892/2001 a esta,,504,"Ordinária (Art. 151, III, RICD)",23,CSSF,https://dadosabertos.camara.leg.br/api/v2/orgaos/2014,
2001-08-15T00:00,,Devolução de Vista,Devolução de Vista (Dep. Arnaldo Faria de Sá e Dep. Eni Voltolini).,,602,"Ordinária (Art. 151, III, RICD)",24,CSSF,https://dadosabertos.camara.leg.br/api/v2/orgaos/2014,
2001-08-16T00:00,,Saída de membro da comissão,Devolução por força da saída do relator da comissão.,,601,"Ordinária (Art. 151, III, RICD)",25,CSSF,https://dadosabertos.camara.leg.br/api/v2/orgaos/2014,
2001-09-12T00:00,,Designação de Relator,"Designado Relator, Dep. Eni Voltolini",,320,"Ordinária (Art. 151, III, RICD)",26,CSSF,https://dadosabertos.camara.leg.br/api/v2/orgaos/2014,
2002-03-13T00:00,,Notificação de Apensação,apense-se a esta o PL-5993/2001.(DESPACHO INICIAL),,504,"Ordinária (Art. 151, III, RICD)",27,MESA,https://dadosabertos.camara.leg.br/api/v2/orgaos/4,
2002-04-02T00:00,,Notificação de Apensação,Apensação do PL-5993/2001 a esta.,,504,"Ordinária (Art. 151, III, RICD)",28,CSSF,https://dadosabertos.camara.leg.br/api/v2/orgaos/2014,
2002-04-16T00:00,,Saída de membro da comissão,Devolução por força da saída do relator da comissão.,,601,"Ordinária (Art. 151, III, RICD)",29,CSSF,https://dadosabertos.camara.leg.br/api/v2/orgaos/2014,
2002-04-30T00:00,,Designação de Relator,"Designado Relator, Dep. Arnaldo Faria de Sá",,320,"Ordinária (Art. 151, III, RICD)",30,CSSF,https://dadosabertos.camara.leg.br/api/v2/orgaos/2014,
2002-05-28T00:00,,Notificação de Apensação,Apense-se a este o PL-6804/2002.,,504,"Ordinária (Art. 151, III, RICD)",31,MESA,https://dadosabertos.camara.leg.br/api/v2/orgaos/4,
2002-06-04T00:00,,Notificação de Apensação,Apensação do PL-6804/2002 a esta.,,504,"Ordinária (Art. 151, III, RICD)",32,CSSF,https://dadosabertos.camara.leg.br/api/v2/orgaos/2014,
2002-08-26T00:00,,Notificação de Apensação,apense-se a este o PL-7108/2002.(DESPACHO INICIAL),,504,"Ordinária (Art. 151, III, RICD)",33,MESA,https://dadosabertos.camara.leg.br/api/v2/orgaos/4,
2002-10-25T00:00,,Notificação de Apensação,Apensação do PL-7108/2002 a esta.,,504,"Ordinária (Art. 151, III, RICD)",34,CSSF,https://dadosabertos.camara.leg.br/api/v2/orgaos/2014,
2003-01-31T00:00,,Arquivamento,Arquivado nos termos do Artigo 105 do Regimento Interno,,502,"Ordinária (Art. 151, III, RICD)",35,MESA,https://dadosabertos.camara.leg.br/api/v2/orgaos/4,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=260314
2003-03-11T00:00,,Despacho de Desarquivamento,Desarquivado nos termos do Artigo 105 do R.I,,135,"Ordinária (Art. 151, III, RICD)",36,MESA,https://dadosabertos.camara.leg.br/api/v2/orgaos/4,
2003-05-14T12:39,,Notificação de Apensação,Apense-se a este o PL-838/2003.,,504,"Ordinária (Art. 151, III, RICD)",37,MESA,https://dadosabertos.camara.leg.br/api/v2/orgaos/4,
2003-05-21T00:00,,Notificação de Apensação,Apensação do PL-838/2003 a esta.,,504,"Ordinária (Art. 151, III, RICD)",38,CSSF,https://dadosabertos.camara.leg.br/api/v2/orgaos/2014,
2003-05-22T10:47,,Recebimento,"Recebimento pela CSSF, com as proposições PL-6443/2002, PL-5993/2001, PL-3968/2000, PL-913/1999, PL-6424/2002, PL-843/2003, PL-6804/2002, PL-838/2003, PL-725/1999, PL-4892/2001, PL-2694/2000, PL-7108/2002 apensadas.",,500,"Ordinária (Art. 151, III, RICD)",39,CSSF,https://dadosabertos.camara.leg.br/api/v2/orgaos/2014,
2003-05-26T10:05,,Notificação de Apensação,Apense-se a este o PL-956/2003.,,504,"Ordinária (Art. 151, III, RICD)",40,MESA,https://dadosabertos.camara.leg.br/api/v2/orgaos/4,
2003-06-03T00:00,,Notificação de Apensação,"Apensação do PL-956/2003 a esta, que determina a mudança da forma de apreciação da matéria para Sujeita à Apreciação do Plenário. (Despacho corrigido mantendo a matéria conclusiva)",,504,"Ordinária (Art. 151, III, RICD)",41,CSSF,https://dadosabertos.camara.leg.br/api/v2/orgaos/2014,
2003-06-12T11:59,,Notificação de Apensação,Apense-se a este o PL-1147/2003.,,504,"Ordinária (Art. 151, III, RICD)",42,MESA,https://dadosabertos.camara.leg.br/api/v2/orgaos/4,
2003-06-18T00:00,,Notificação de Apensação,Apensação do PL-1147/2003 a esta,,504,"Ordinária (Art. 151, III, RICD)",43,CSSF,https://dadosabertos.camara.leg.br/api/v2/orgaos/2014,
2003-07-01T00:00,,Notificação de Apensação,Apense-se a este o PL-956/2003.,,504,"Ordinária (Art. 151, III, RICD)",44,MESA,https://dadosabertos.camara.leg.br/api/v2/orgaos/4,
2003-08-28T00:00,,Designação de Relator,"Designada Relatora, Dep. Dra. Clair",,320,"Ordinária (Art. 151, III, RICD)",45,CSSF,https://dadosabertos.camara.leg.br/api/v2/orgaos/2014,
2003-08-28T00:00,,Abertura de Prazo,Abertura de Prazo para Emendas ao Projeto a partir de 29/08/2003,,350,"Ordinária (Art. 151, III, RICD)",46,CSSF,https://dadosabertos.camara.leg.br/api/v2/orgaos/2014,
2003-09-05T00:00,,Encerramento de Prazo,Encerrado o prazo para emendas. Não foram apresentadas emendas.,,600,"Ordinária (Art. 151, III, RICD)",47,CSSF,https://dadosabertos.camara.leg.br/api/v2/orgaos/2014,
2003-12-19T14:00,,Notificação de Apensação,Apense-se a este o PL-2635/2003.,,504,"Ordinária (Art. 151, III, RICD)",48,MESA,https://dadosabertos.camara.leg.br/api/v2/orgaos/4,
2004-01-28T00:00,,Notificação de Apensação,Apensação do PL 2635/2003 a esta proposição.,,504,"Ordinária (Art. 151, III, RICD)",49,CSSF,https://dadosabertos.camara.leg.br/api/v2/orgaos/2014,
2004-03-29T11:12,,Recebimento - Relator (Sem Manifestação),Devolvida sem Manifestação.,,507,"Ordinária (Art. 151, III, RICD)",50,CSSF,https://dadosabertos.camara.leg.br/api/v2/orgaos/2014,
2004-04-02T12:07,,Notificação de Apensação,Apense-se a este o PL-3172/2004.,,504,"Ordinária (Art. 151, III, RICD)",51,MESA,https://dadosabertos.camara.leg.br/api/v2/orgaos/4,
2004-04-06T00:00,,Notificação de Apensação,Apensação do PL-3172/2004 a esta proposição.,,504,"Ordinária (Art. 151, III, RICD)",52,CSSF,https://dadosabertos.camara.leg.br/api/v2/orgaos/2014,
2004-04-16T12:46,,Notificação de Apensação,Apense-se a este o PL-3345/2004.,,504,"Ordinária (Art. 151, III, RICD)",53,MESA,https://dadosabertos.camara.leg.br/api/v2/orgaos/4,
2004-04-20T00:00,,Notificação de Apensação,Apensação do PL 3345/2004 a esta proposição.,,504,"Ordinária (Art. 151, III, RICD)",54,CSSF,https://dadosabertos.camara.leg.br/api/v2/orgaos/2014,
2004-04-29T00:00,,Designação de Relator,"Designado Relator, Dep. Eduardo Barbosa (PSDB-MG)",,320,"Ordinária (Art. 151, III, RICD)",55,CSSF,https://dadosabertos.camara.leg.br/api/v2/orgaos/2014,
2004-04-30T11:08,,Notificação de Apensação,Apense-se a este o PL-3389/2004.,,504,"Ordinária (Art. 151, III, RICD)",56,MESA,https://dadosabertos.camara.leg.br/api/v2/orgaos/4,
2004-05-04T00:00,,Notificação de Apensação,Apensação do PL 3389/2004 a esta proposição.,,504,"Ordinária (Art. 151, III, RICD)",57,CSSF,https://dadosabertos.camara.leg.br/api/v2/orgaos/2014,
2004-12-16T00:00,,Devolução ao Relator,"Devolvido ao Relator, Dep. Eduardo Barbosa (PSDB-MG)",,170,"Ordinária (Art. 151, III, RICD)",59,CSSF,https://dadosabertos.camara.leg.br/api/v2/orgaos/2014,
2004-12-16T15:21,,Recebimento - Relator,Apresentação do Parecer do Relator pelo Dep. Eduardo Barbosa,,501,"Ordinária (Art. 151, III, RICD)",58,CSSF,https://dadosabertos.camara.leg.br/api/v2/orgaos/2014,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=259550
2004-12-17T00:00,,Recebimento - Relator,Apresentação do Parecer do Relator pelo Dep. Eduardo Barbosa,,501,"Ordinária (Art. 151, III, RICD)",60,CSSF,https://dadosabertos.camara.leg.br/api/v2/orgaos/2014,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=259733
2004-12-17T10:59,,Parecer do Relator,"Parecer do Relator, Dep. Eduardo Barbosa (PSDB-MG), pela aprovação deste, do PL 725/1999, do PL 913/1999, do PL 2694/2000, do PL 3968/2000, do PL 4892/2001, do PL 7108/2002, do PL 838/2003, do PL 956/2003, do PL 2635/2003, do PL 3345/2004, e do PL 3389/2004, apensados, com substitutivo, e pela rejeição do PL 5993/2001, do PL 6424/2002, do PL 6443/2002, do PL 6804/2002, do PL 843/2003, do PL 1127/2003, do PL 1147/2003, e do PL 3172/2004, apensados.",,322,"Ordinária (Art. 151, III, RICD)",61,CSSF,https://dadosabertos.camara.leg.br/api/v2/orgaos/2014,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=259733
2005-02-17T00:00,,Abertura de Prazo,Abertura de Prazo para Emendas ao Substitutivo a partir de 18/02/2005,,350,"Ordinária (Art. 151, III, RICD)",62,CSSF,https://dadosabertos.camara.leg.br/api/v2/orgaos/2014,
2005-02-25T00:00,,Encerramento de Prazo,Encerrado o prazo para emendas. Não foram apresentadas emendas ao substitutivo.,,600,"Ordinária (Art. 151, III, RICD)",63,CSSF,https://dadosabertos.camara.leg.br/api/v2/orgaos/2014,
2005-03-16T00:00,,Aprovação,Aprovado por Unanimidade o Parecer,,240,"Ordinária (Art. 151, III, RICD)",64,CSSF,https://dadosabertos.camara.leg.br/api/v2/orgaos/2014,
2005-03-23T00:00,,Publicação de Proposição,Proposição recebida para publicação.,,604,"Ordinária (Art. 151, III, RICD)",68,CCP,https://dadosabertos.camara.leg.br/api/v2/orgaos/186,
2005-03-23T00:00,,Encaminhamento,Encaminhado à CTASP através da guia de Remessa (GR/CSSF) nº 21.,,180,"Ordinária (Art. 151, III, RICD)",65,CSSF,https://dadosabertos.camara.leg.br/api/v2/orgaos/2014,
2005-03-23T00:00,,Publicação de Proposição,Encaminhamento de parecer à CCP para publicação.,,604,"Ordinária (Art. 151, III, RICD)",67,CSSF,https://dadosabertos.camara.leg.br/api/v2/orgaos/2014,
2005-03-23T00:00,,Recebimento,"Recebimento pela CTASP, com as proposições PL-2635/2003, PL-3172/2004, PL-6443/2002, PL-5993/2001, PL-3968/2000, PL-3345/2004, PL-956/2003, PL-913/1999, PL-6424/2002, PL-1147/2003, PL-843/2003, PL-6804/2002, PL-838/2003, PL-1127/2003, PL-725/1999, PL-4892/2001, PL-2694/2000, PL-7108/2002, PL-3389/2004 apensadas.",,500,"Ordinária (Art. 151, III, RICD)",66,CTASP,https://dadosabertos.camara.leg.br/api/v2/orgaos/2015,
2005-03-29T00:00,,Publicação de Proposição,"Encaminhada à publicação. Parecer da Comissão de Seguridade Social e Família publicado no DCD de 30/03/05PÁG 09256 COL 02, Letra A.",,604,"Ordinária (Art. 151, III, RICD)",69,CCP,https://dadosabertos.camara.leg.br/api/v2/orgaos/186,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=326265
2006-02-22T00:00,,Designação de Relator,"Designado Relator, Dep. Medeiros (PL-SP)",,320,"Ordinária (Art. 151, III, RICD)",70,CTASP,https://dadosabertos.camara.leg.br/api/v2/orgaos/2015,
2006-02-23T00:00,,Abertura de Prazo,Prazo para Emendas ao Projeto (5 sessões ordinárias a partir de 24/02/2006),,350,"Ordinária (Art. 151, III, RICD)",71,CTASP,https://dadosabertos.camara.leg.br/api/v2/orgaos/2015,
2006-03-15T00:00,,Encerramento de Prazo,Encerrado o prazo para emendas ao projeto. Não foram apresentadas emendas.,,600,"Ordinária (Art. 151, III, RICD)",72,CTASP,https://dadosabertos.camara.leg.br/api/v2/orgaos/2015,
2006-07-04T00:00,,Recebimento - Relator (Sem Manifestação),Devolvida sem Manifestação.,,507,"Ordinária (Art. 151, III, RICD)",73,CTASP,https://dadosabertos.camara.leg.br/api/v2/orgaos/2015,
2007-01-31T00:00,,Arquivamento,Arquivado nos termos do Artigo 105 do Regimento Interno. DCD 01 02 07 PAG 78 COL 01 SUPLEMENTO 01 AO Nº 21. ,,502,"Ordinária (Art. 151, III, RICD)",74,MESA,https://dadosabertos.camara.leg.br/api/v2/orgaos/4,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=486014
2007-02-06T11:01,,Desarquivamento a Pedido,"Apresentação do REQUERIMENTO N.º 15, DE 2007, pelo Deputado(a) Alberto Fraga, que solicita o desarquivamento de proposição.",,640,"Ordinária (Art. 151, III, RICD)",75,MESA,https://dadosabertos.camara.leg.br/api/v2/orgaos/4,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=434096
2007-02-06T18:39,,Desarquivamento a Pedido,"Apresentação do REQUERIMENTO N.º 71, DE 2007, pelo Deputado(a) Nelson Pellegrino, que solicita o desarquivamento de proposição.",,640,"Ordinária (Art. 151, III, RICD)",76,MESA,https://dadosabertos.camara.leg.br/api/v2/orgaos/4,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=434052
2007-02-07T16:59,,Desarquivamento a Pedido,"Apresentação do REQUERIMENTO N.º 101, DE 2007, pelo Deputado(a) Pompeo de Mattos, que solicita o desarquivamento de proposição.",,640,"Ordinária (Art. 151, III, RICD)",77,MESA,https://dadosabertos.camara.leg.br/api/v2/orgaos/4,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=434185
2007-02-12T20:52,,Desarquivamento a Pedido,"Apresentação do REQUERIMENTO N.º 197, DE 2007, pelo Deputado(a) Ricardo Izar, que solicita o desarquivamento de proposição.",,640,"Ordinária (Art. 151, III, RICD)",78,MESA,https://dadosabertos.camara.leg.br/api/v2/orgaos/4,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=434746
2007-02-13T17:57,,Desarquivamento a Pedido,"Apresentação do REQUERIMENTO N.º 249, DE 2007, pelo Deputado(a) Vic Pires Franco, que solicita o desarquivamento de proposição.",,640,"Ordinária (Art. 151, III, RICD)",79,MESA,https://dadosabertos.camara.leg.br/api/v2/orgaos/4,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=434912
2007-02-14T17:39,,Desarquivamento a Pedido,"Apresentação do REQUERIMENTO N.º 272, DE 2007, pelo Deputado(a) Clóvis Fecury, que solicita o desarquivamento de proposição.",,640,"Ordinária (Art. 151, III, RICD)",80,MESA,https://dadosabertos.camara.leg.br/api/v2/orgaos/4,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=435213
2007-03-01T15:32,,Desarquivamento a Pedido,"Apresentação do REQUERIMENTO N.º 406, DE 2007, pelo Deputado(a) Paulo Pimenta, que solicita o desarquivamento de proposição.",,640,"Ordinária (Art. 151, III, RICD)",81,MESA,https://dadosabertos.camara.leg.br/api/v2/orgaos/4,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=438537
2007-03-05T00:00,,Desarquivamento a Pedido,"Desarquivado nos termos do Artigo 105 do RICD, em conformidade com o despacho exarado no REQ-15/2007 => PL-89/1999.
DCD de 06 03 07 PÁG 8153 COL 01.",,640,"Ordinária (Art. 151, III, RICD)",82,MESA,https://dadosabertos.camara.leg.br/api/v2/orgaos/4,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=438324
2007-03-05T15:01,,Reentrada na comissão por arquivamento,Reentrada na comissão por motivo de desarquivamento,,630,"Ordinária (Art. 151, III, RICD)",83,NAJUR(SGM),https://dadosabertos.camara.leg.br/api/v2/orgaos/100061,
2007-03-14T00:00,,Desarquivamento a Pedido,"PREJUDICADA a solicitação do REQ-71/2007, com relação a esta proposição.
DCD 15 03 07 PAG 9973 COL 01.",,640,"Ordinária (Art. 151, III, RICD)",84,MESA,https://dadosabertos.camara.leg.br/api/v2/orgaos/4,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=515150
2007-03-21T00:00,,Desarquivamento a Pedido,"Devido a desarquivamento desta proposição em requerimento anterior, foi declarada prejudicada a solicitação de desarquivamento constante do REQ-101/2007.
DCD de 22 03 07 PÁG 11397 COL 01.",,640,"Ordinária (Art. 151, III, RICD)",85,MESA,https://dadosabertos.camara.leg.br/api/v2/orgaos/4,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=442691
2007-03-30T00:00,,Desarquivamento a Pedido,"Devido a desarquivamento desta proposição em requerimento anterior, foi declarada prejudicada a solicitação de desarquivamento constante do REQ-197/2007.
DCD 31 03 07 PÁG 13823 COL 01.",,640,"Ordinária (Art. 151, III, RICD)",86,MESA,https://dadosabertos.camara.leg.br/api/v2/orgaos/4,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=443202
2007-04-04T00:00,,Designação de Relator,"Designado Relator, Dep. Wilson Braga (PMDB-PB)",,320,"Ordinária (Art. 151, III, RICD)",87,CTASP,https://dadosabertos.camara.leg.br/api/v2/orgaos/2015,
2007-04-05T00:00,,Abertura de Prazo, Prazo para Emendas ao Projeto  (5 sessões ordinárias a partir de 09/04/2007),,350,"Ordinária (Art. 151, III, RICD)",88,CTASP,https://dadosabertos.camara.leg.br/api/v2/orgaos/2015,
2007-04-10T00:00,,Desarquivamento a Pedido,"Devido a desarquivamento desta proposição em requerimento anterior, foi declarada prejudicada a solicitação de desarquivamento constante do REQ-249/2007.
DCD 11 04 07  PAG 15337 COL 01",,640,"Ordinária (Art. 151, III, RICD)",89,MESA,https://dadosabertos.camara.leg.br/api/v2/orgaos/4,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=444328
2007-04-12T00:00,,Desarquivamento a Pedido,"Devido a desarquivamento desta proposição em requerimento anterior, foi declarada prejudicada a solicitação de desarquivamento constante do REQ-272/2007. DCD 13 04 07 PAG 16148 COL 01.",,640,"Ordinária (Art. 151, III, RICD)",90,MESA,https://dadosabertos.camara.leg.br/api/v2/orgaos/4,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=445749
2007-04-16T00:00,,Encerramento de Prazo,Encerrado o prazo para emendas ao projeto. Não foram apresentadas emendas.,,600,"Ordinária (Art. 151, III, RICD)",91,CTASP,https://dadosabertos.camara.leg.br/api/v2/orgaos/2015,
2007-04-25T00:00,,Desarquivamento a Pedido,"Devido a desarquivamento desta proposição em requerimento anterior, foi declarada prejudicada a solicitação de desarquivamento constante do REQ-406/2007.
DCD 26 04 07 PAG 19118 COL 01",,640,"Ordinária (Art. 151, III, RICD)",92,MESA,https://dadosabertos.camara.leg.br/api/v2/orgaos/4,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=449514
2007-12-06T11:49,,Recebimento - Relator,"Apresentação do Parecer do Relator, PRL 1 CTASP, pelo Dep. Wilson Braga",,501,"Ordinária (Art. 151, III, RICD)",93,CTASP,https://dadosabertos.camara.leg.br/api/v2/orgaos/2015,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=529181
2008-03-06T00:00,,Devolução ao Relator,"Devolvido ao Relator, Dep. Wilson Braga (PMDB-PB)",,170,"Ordinária (Art. 151, III, RICD)",94,CTASP,https://dadosabertos.camara.leg.br/api/v2/orgaos/2015,
2008-03-12T18:42,,Recebimento - Relator,"Apresentação do Parecer do Relator, PRL 2 CTASP, pelo Dep. Wilson Braga",,501,"Ordinária (Art. 151, III, RICD)",95,CTASP,https://dadosabertos.camara.leg.br/api/v2/orgaos/2015,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=543974
2008-03-12T18:42,,Parecer do Relator,"Parecer do Relator, Dep. Wilson Braga (PMDB-PB), pela aprovação deste, do Substitutivo adotado pela Comissão de Seguridade Social e Família, do PL 725/1999, do PL 913/1999, do PL 2694/2000, do PL 3968/2000, do PL 4892/2001, do PL 7108/2002, do PL 838/2003, do PL 956/2003, do PL 2635/2003, do PL 3345/2004, e do PL 3389/2004, apensados, e pela rejeição do PL 5993/2001, do PL 6804/2002, do PL 1147/2003, do PL 3172/2004, do PL 6424/2002, do PL 6443/2002, do PL 1127/2003, e do PL 843/2003, apensados.",,322,"Ordinária (Art. 151, III, RICD)",96,CTASP,https://dadosabertos.camara.leg.br/api/v2/orgaos/2015,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=543974
2008-04-02T10:00,,Designação de Relator Parcial,"Parecer Vencedor, Dep. Eudes Xavier (PT-CE), pela rejeição deste, do Substitutivo 1 da CSSF, do PL 725/1999, do PL 913/1999, do PL 2694/2000, do PL 3968/2000, do PL 4892/2001, do PL 5993/2001, do PL 6804/2002, do PL 7108/2002, do PL 838/2003, do PL 956/2003, do PL 1147/2003, do PL 2635/2003, do PL 3172/2004, do PL 3345/2004, do PL 3389/2004, do PL 6424/2002, do PL 6443/2002, do PL 1127/2003, e do PL 843/2003, apensados.",,328,"Ordinária (Art. 151, III, RICD)",99,CTASP,https://dadosabertos.camara.leg.br/api/v2/orgaos/2015,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=556028
2008-04-02T10:00,,Aprovação,"Aprovado o Parecer Vencedor do Dep. Eudes Xavier. O parecer do Relator, Dep. Wilson Braga, passou a constituir Voto em Separado.",,240,"Ordinária (Art. 151, III, RICD)",100,CTASP,https://dadosabertos.camara.leg.br/api/v2/orgaos/2015,
2008-04-02T10:00,,Rejeição do Relatório Prévio,Rejeitado o Parecer,,339,"Ordinária (Art. 151, III, RICD)",97,CTASP,https://dadosabertos.camara.leg.br/api/v2/orgaos/2015,
